publisher,product_url,Title,id_animeclick,N_volume,product_id,n_reprint,price_full,price_actual,release_date,release_date_giorno,release_date_mese,release_date_anno,author,Disegnatore,pages,size,contents,binding,colors,isbn,genere,description,img_file,details_volume
Panini Comics,https://comics.panini.it/store/pub_ita_it/msomn003isbn-it-somnia-speciale-somnia-a-colori.html,Somnia – Caccia al tesoro,somniacacciaaltesoro,,msomn003isbn,,16.0,15.2,08/11/2018,8,11,2018,"Liza E. Anzen, Federica di Meo",,128,17x26,Somnia – Caccia al tesoro,Cartonato,Colori,9788891285102.0,,"Qual è il tesoro più prezioso del mondo? Un ragazzo con un sogno impossibile si metterà alla ricerca dell’ultimo Somnia rimasto al mondo, un artefatto in grado di esaudire ogni desiderio. Un’incredibile avventura carica di mistero e magia in un volume unico di grande formato e interamente a colori dedicata ai nuovi e ai vecchi lettori.",img_msomn003isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mthod002isbn-it-thorgal-deluxe-thorgal-deluxe-vol-2.html,Thorgal deluxe ,thorgaldeluxe,2,mthod002isbn,,33.0,31.35,26/11/2020,26,11,2020,"Jean Van Hamme, Grzegorz Rosinski",,304,21x28,Thorgal 7/12,Cartonato,Color,,azione,Continua l’edizione definitiva del capolavoro del fumetto fantasy europeo! Le prime indimenticabili avventure del vichingo dai capelli corvini… e il debutto di Kriss di Valnor! Van Hamme e Rosinski cominciano a svelare le origini del Figlio delle stelle! La raccolta definitiva del classico della BD ricca di extra e dietro le quinte!,img_mthod002isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/msaco025isbn-it-savage-sword-of-conan-la-spada-selvaggia-di-conan-vol-25.html,La Spada Selvaggia di Conan,laspadaselvaggiadiconan,25,msaco025isbn,,28.0,26.6,19/11/2020,19,11,2020,"Gary Kwapisz, Tom Grindberg, Chuck Dixon",,320,20.5x27.5,Savage Sword of Conan (1974) #144/149,Cartonato,Color,,azione,"I picchi e gli abissi della carriera di Conan il Cimmero! Da generale vittorioso delle legioni di Nemedia a schiavo gladiatore e fuggitivo nelle paludi Kushite. Il Barbaro non si tira indietro davanti a nulla, che sia un idolo alieno o un culto dimenticato di un dio maledetto!",img_msaco025isbn,1988 - I
Panini Comics,https://comics.panini.it/store/pub_ita_it/masco004-it-asterix-collection-asterix-collection-asterix-e-il-papiro.html,Asterix e la figlia di Vercingetorice,asterixelafigliadivercingetorice,,masco004,,6.9,6.56,05/11/2020,5,11,2020,"Didier Conrad, Jean-Yves Ferri",,48,21.8x28.7,La fille de Vercingétorix,Brossurato,Colori,,azione,Magazine,img_masco004,
Panini Comics,https://comics.panini.it/store/pub_ita_it/masco003-it-asterix-collection-asterix-collection-asterix-e-la-figlia.html,Asterix e il papiro di Cesare,asterixeilpapirodicesare,,masco003,,6.9,6.56,08/10/2020,8,10,2020,"Didier Conrad, Jean-Yves Ferri",,48,21.8x28.7,Le Papyrus de César,Brossurato,Colori,,azione,Magazine,img_masco003,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mhead003isbn-it-headlopper-headlopper-volume-3.html,Head Lopper,headlopper,3,mhead003isbn,,25.0,23.75,30/09/2020,30,9,2020,Andrew MacLean,,216,17x26,Head Lopper (2015) #9/12,Cartonato,Colori,,azione,"Azione, avventura e… decapitazioni in un nuovo capitolo del fantasy più originale degli ultimi anni. Il grande uovo al centro di una lontana città ha cominciato a creparsi, le forze del male sono in subbiglio e la guerra appare ormai imminente. Tra magie arcane e pericoli di ogni sorta, riusciranno Norgal e la testa della strega Agatha a trovare le risposte che cercano o soccomberanno alla follia?",img_mhead003isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/msted001isbn-it-la-stella-del-deserto-deluxe-la-stella-del-deserto-deluxe.html,La Stella del Deserto,lastelladeldeserto,,msted001isbn,,30.0,28.5,10/09/2020,10,9,2020,"Enrico Marini, Stephen Desberg",,120,21x28,L'Étoile du désert #1/4,Cartonato,Colori,,azione,"L’edizione definitiva del capolavoro della bande dessinée di Stephen Desberg, Enrico Marini e Hugues Labiano. Tutto inizia a Washington nel 1870. L’omicidio di sua moglie e sua figlia spinge il funzionario governativo Matt Montgomery a dirigersi verso il selvaggio Ovest. È l’inizio di una pluripremiata ballata infernale nel cuore della brutalità umana.",img_msted001isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/masco002-it-asterix-collection-asterix-collection-asterix-e-i-pitti.html,Asterix e i Pitti,asterixeipitti,,masco002,,6.9,6.56,03/09/2020,3,9,2020,"Didier Conrad, Jean-Yves Ferri",,48,21.8x28.7,Astérix chez les Pictes,Brossurato,Colori,,azione,Magazine,img_masco002,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mcopr001isbn-it-copra-copra-n-1.html,Copra,copra,1,mcopr001isbn,,19.0,18.05,27/08/2020,27,8,2020,Michel Fiffe,,160,17x26,Copra #1/6,Cartonato,Colori,,azione,"Sono brutti. Sono cattivi. Ma fino a oggi, sono sempre stati leali. Quindi, quando uno dei loro li tradisce, la squadra COPRA non ha altra scelta che abbattersi con la sua ferocia da incubo su tutti quelli che prima li guardavano divertiti. Eccoli qui: i primi sei numeri dell'acclamata revenge story di supereroi di Michel Fiffe.",img_mcopr001isbn,Primo Round
Panini Comics,https://comics.panini.it/store/pub_ita_it/msaco024isbn-it-savage-sword-of-conan-la-spada-selvaggia-di-conan-vol-24.html,La Spada Selvaggia di Conan,laspadaselvaggiadiconan,,msaco024isbn,,25.0,23.75,20/08/2020,20,8,2020,"Val Mayerik, AA.VV.",,320,20.5x27.5,The Savage Sword of Conan (1974) #138-143,Cartonato,Bianco e nero e colori,9788891276766.0,azione,"Conan salpa ancora una volta con la Fratellanza Rossa di Valeria per una audace avventura piratesca. Poi vedrmeo il nostro Cimmero allenare un villaggio di contadini perché si oppongano a un crudele signore della guerra, prima di cercare vendetta sull’uomo che ha assassinato una bellissima ragazza che gli è apparsa in una visione. E poi… i Pitti!",img_msaco024isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mgoon002isbn-it-the-goon-deluxe-the-goon-deluxe-vol-2.html,The Goon deluxe ,thegoondeluxe,2,mgoon002isbn,,37.0,35.15,13/08/2020,13,8,2020,Eric Powell,,416,17x26,"The Goon (2003) #9/18, The Goon: Chinatown and the Mystery of Mr. Wicker ???",Cartonato,Colori,,azione,"Continua la nuova edizione deluxe di The Goon, uno dei maggiori successi del fumetto americano, a vent’anni dalla sua nascita. Una misteriosa figura è arrivata in città e si sta muovendo per far fuori Goon. Mentre il picchiatore di Lonely Street cerca di mantenere la stretta sul crimine organizzato, la sua testa è invasa dai ricordi dei suoi periodi più bui…",img_mgoon002isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/masco001-it-asterix-collection-asterix-collection-asterix-e-la-corsa.html,Asterix e la corsa d'Italia,asterixelacorsaditalia,,masco001,,6.9,6.56,06/08/2020,6,8,2020,"Didier Conrad, Jean-Yves Ferri",,48,21.8x28.7,Astérix et la Transitalique,Brossurato,Colori,,azione,Magazine,img_masco001,
Panini Comics,https://comics.panini.it/store/pub_ita_it/m911i002isbn-it-911-integrale-david-murphy-911-omnibus-edition-libro-isbn.html,"David Murphy 911 – Nel peggiore dei casi
Omnibus Edition",davidmurphy911nelpeggioredeicasiomnibusedition,,m911i002isbn,,26.0,24.7,23/07/2020,23,7,2020,"Matteo Cremona, Roberto Recchioni",,408,17x26,David Murphy 911 #1/4,Cartonato,Colori,9788891249593.0,azione,"Come festeggiare alla grande un compleanno?
1. Vivere nuove avventure per sentirsi sempre in viaggio
2. Chiudere i conti con il passato
3. Rinnovare il proprio look
4. Guardarsi allo specchio e piacersi un sacco, pensando però che anche prima non eri affatto male
Così, a dieci anni dalla prima pubblicazione e alla fine di Make America Great Again, torna il primo, indimenticabile David Murphy, l’uomo giusto al momento sbagliato, l’eroe suo malgrado, il pompiere che salva sempre la situazione. E noi gli facciamo gli auguri con una nuova edizione cartonata in formato comics!",img_m911i002isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/molgu001isbn-it-the-old-guard-the-old-guard-vol-1-libro-isbn.html,The old guard,theoldguard,1,molgu001isbn,,21.0,19.95,23/07/2020,23,7,2020,"Greg Rucka, Leandro Fernandez",,176,17x26,The Old Guard (2017) #1/5,Cartonato,Colori,9788891280008.0,azione,"I vecchi soldati non muoiono mai… in certi casi letteralmente! Da secoli e secoli, alcuni mercenari immortali offrono i propri servizi a coloro che possono permetterseli. Ma al giorno d’oggi, quello dell’immortalità è un segreto difficile da mantenere, e quando hai vissuto così a lungo impari a tue spese che ci sono destini peggiori della morte! Da Greg Rucka (Lazarus) e Leandro Fernandez (The Discipline), il volume che raccoglie l’acclamata miniserie divenuta un film con Charlize Theron!",img_molgu001isbn,Fuoco d'apertura
Panini Comics,https://comics.panini.it/store/pub_ita_it/mhill002isbn-it-hillbilly-hillbilly-n-2.html,Hillbilly,hillbilly,2,mhill002isbn,,16.0,15.2,23/07/2020,23,7,2020,Eric Powell,,112,17x26,Hillbilly (2016) #5-8,Cartonato,Colori,9788891277510.0,azione,"Rondel, armato della sua Mannaia del Diavolo e accompagnato dal gigantesco orso Lucille, continua a vagare per le colline degli Appalachi mentre mostri e streghe si scagliano contro di lui. E questa volta dovrà vedersela con il Tailypo, una creatura malevola e astuta che si muove nella notte in cerca delle sue vittime. Il secondo volume, dell’epica western-fantasy dal creatore di The Goon, Eric Powell.",img_mhill002isbn,Le Diavolerie di Mezzanotte del Tailypo
Panini Comics,https://comics.panini.it/store/pub_ita_it/mkias014isbn-it-kick-ass-kick-ass-the-new-girl-vol-4.html,Hit-Girl,hitgirl,6,mkias014isbn,,16.0,15.2,16/07/2020,16,7,2020,"Peter Milligan, Alison Sampson",,96,17x26,Hit-Girl Season Two (2019) #9/12,Cartonato,Color,9788891278708.0,azione,"Hit-Girl è arrivata a Mumbai per sradicare, con tutta la violenza necessaria, un cartello criminale che mutila i bambini e li obbliga a chiedere l’elemosina per le strade. Giustizia sarà fatta attraverso la carneficina gentilmente offerta da Peter Milligan (X-Force) e Alison Sampson (Star Wars)!",img_mkias014isbn,India
Panini Comics,https://comics.panini.it/store/pub_ita_it/mmilw018isbn-it-millarworld-millarworld-collection-n-18-chrononauts-libro.html,Space Bandits,spacebandits,,mmilw018isbn,,20.0,19.0,02/07/2020,2,7,2020,"Mark Millar, Matteo Scalera",,160,17x26,Space Bandits #1/5,Cartonato,Colori,9788891277183.0,azione,"Thena Khole e Cody Blue sono fra le criminali più ricercate dell’universo. A capo delle rispettive bande, fanno colpi per tutta la galassia, fra i più spregiudicati e remunerativi. Ma quando entrambe vengono tradite dalle loro gang non rimane che un’unica cosa da fare, assieme: esigere vendetta! Mark Millar e il geniale disegnatore italiano Matteo Scalera firmano un Kill Bill spaziale che non lascia scampo.",img_mmilw018isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mthgo016isbn-it-the-goon-the-goon-new-series-vol-1.html,The Goon,thegoon,1,mthgo016isbn,,16.0,15.2,11/06/2020,11,6,2020,Eric Powell,,128,17x26,The Goon (2019) #1-4,Cartonato,Colori,9788891276803.0,azione,"Dopo strane avventure all’estero, Goon e Franky tornano a Lonely Street solo per ritrovarci un’orda di personaggi ripugnanti che hanno approfittato della loro assenza. Per Goon, è ora di menare le mani… L’anticipato ritorno di Eric Powell con nuove storie della sua creazione più amata e premiata (4 premi Eisner!) per il ventennale di The Goon.",img_mthgo016isbn,Un cencioso ritorno a Lonely Street
Panini Comics,https://comics.panini.it/store/pub_ita_it/mthod001isbn-it-thorgal-deluxe-thorgal-deluxe-vol-1.html,Thorgal deluxe ,thorgaldeluxe,1,mthod001isbn,,33.0,31.35,11/06/2020,11,6,2020,"Jean Van Hamme, Grzegorz Rosinski",,304,21x28,Thorgal 1-6,Cartonato,Colori,9788891275844.0,azione,"L’ELEGANTE EDIZIONE DEL CAPOLAVORO FANTASY DELLA BD Tornano le classiche avventure di Thorgal, l’eroe vichingo venuto dalle Stelle! I primi sei tomi che hanno fatto la Storia del fumetto, in grande formato e accompagnati da extra e dietro le quinte! Immergetevi nelle avventure di uno dei personaggi più noti, imitati e longevi del fumetto europeo!",img_mthod001isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mmilw019isbn-it-millarworld-millarworld-collection-n-19-space-bandits.html,Chrononauts – Futureshock,chrononautsfutureshock,,mmilw019isbn,,16.0,15.2,04/06/2020,4,6,2020,"Mark Millar, Eric Canete",,128,17x26,Chrononauts — Futureshock #1/4,Cartonato,Colori,9788891278067.0,azione,"Ritornano in scena i due amici per la pelle Corbin Quinn e Danny Reilly, gli scienziati che hanno scoperto il segreto per viaggiare nel tempo. Stavolta sono alle prese con la più grande impresa mai tentata: conquistare il futuro! E, come si suol dire: “Attento a quello che desideri, perché potresti ottenerlo!"".",img_mmilw019isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/msaco023isbn-it-savage-sword-of-conan-la-spada-selvaggia-di-conan-vol-23.html,La Spada Selvaggia di Conan,laspadaselvaggiadiconan,23,msaco023isbn,,25.0,23.75,21/05/2020,21,5,2020,"Andy Kubert, AA.VV.",,320,20.5x27.5,The Savage Sword of Conan #132/137,Cartonato,Bianco e nero e colori,9788891273017.0,azione,"Conan non è tipo da rifiutare un lavoro ben pagato, sia anche fare da scorta a una sposa nel viaggio verso Aquilonia, affrontare i climi freddi del Nord contro un’orda di lupi o combattere contro un leggendario pirata. Persino i terribili selvaggi Pitti non fanno paura al potente Cimmero!",img_msaco023isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mlowr001isbn-it-low-road-west-low-road-west.html,Low Road West,lowroadwest,,mlowr001isbn,,16.0,15.2,07/05/2020,7,5,2020,"Flaviano Armentaro, Philip Kennedy Johnson",,128,17x26,Low Road West #1/5,Cartonato,Colori,9788891275899.0,azione,"In un’America devastata dalla guerra nucleare, cinque ragazzi rifugiati scelgono di stabilirsi in una città fantasma. Ma in quel luogo ci sono forze sovrannaturali al lavoro che li spingeranno a riconsiderare la loro stessa esistenza. Un lavoro appassionante di Philip Kennedy Johnson (Aquaman) e Flaviano (Spider-Man/Deadpool), un racconto di formazione originale e profondo.",img_mlowr001isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mhill001isbn-it-hillbilly-hillbilly-n-1.html,Hillbilly,hillbilly,1,mhill001isbn,,17.0,16.15,12/03/2020,12,3,2020,Eric Powell,,136,17x26,Hillbilly #1/4,Cartonato,Colori,9788891273949.0,azione,"Eric Powell , il creatore di The Goon e vincitore di quattro premi Eisner, ci racconta la storia di Rondel che vaga per le alture degli Appalachi vedendosela con mostri magici, streghe e demoni. Un po’ western, un po’ fantasy, del tutto imperdibile!",img_mhill001isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mfasl001isbn-it-paris-fashion-slam-paris-fashion-slam.html,Paris Fashion Slam,parisfashionslam,,mfasl001isbn,,14.0,13.3,27/02/2020,27,2,2020,"Marco Russo, Alessio Fioriniello",,128,17x26,Paris Fashion Slam,Cartonato,Colori,9788891273130.0,azione,"Pronti per una lotta tra donne bellissime e griffatissime? Lo showbiz che ruota intorno al mondo della moda ci ha abituati a modelle sempre più esili. Ma questo non significa che siano indifese… Quando scoppia una rissa in passerella, la top model di turno si rende conto che questo è il vero segreto del successo: dare al pubblico uno show all’ultimo sangue. E per le taglie comode non c’è più spazio, almeno finché non arriva la giovane Alexis… Una nuova autoproduzione Panini dei giovani e talentuosissimi Marco Russo e Alessio Fioriniello, per tanta azione e un divertimento ""di menare""!",img_mfasl001isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mmilw014isbnr-it-millarworld-millarworld-collection-magic-order-prima-ri.html,Magic Order,magicorder,,mmilw014isbnr,1.0,22.0,20.9,27/02/2020,27,2,2020,"Mark Millar, Olivier Coipel",,176,17x26,Magic Order #1/6,Cartonato,Colori,9788891276896.0,azione,"Viviamo in un mondo in cui non abbiamo mai visto un mostro, e la ragione per cui dormiamo tranquillamente nei nostri letti è che cinque famiglie di maghi ci proteggono. Ora però un nemico implacabile li sta facendo fuori a uno a uno... Il primo fumetto di Netflix, dalla genialità di Mark Millar e Olivier Coipel!",img_mmilw014isbnr,
